index,status,video_id,title,url,duration,output_file,transcript_chars,source
1,saved,FH06Kd36HRE,How To REALLY Think (& Act!) Like A Professional Algo Trader,https://www.youtube.com/watch?v=FH06Kd36HRE,11:34,Source_data/transcript/algo_trading_with_kevin_davey_notebooklm_transcripts/How To REALLY Think (& Act!) Like A Professional Algo Trader.md,8026,NotebookLM YouTube transcript import
2,saved,r_hv1TwzHI4,I Backtested the REVERSE MACD Strategy — Here’s What Actually Happens,https://www.youtube.com/watch?v=r_hv1TwzHI4,11:12,Source_data/transcript/algo_trading_with_kevin_davey_notebooklm_transcripts/I Backtested the REVERSE MACD Strategy — Here’s What Actually Happens.md,7897,NotebookLM YouTube transcript import
3,saved,PvP1ziQxtuE,Why Patience Is KEY To Winning Algo Trading!,https://www.youtube.com/watch?v=PvP1ziQxtuE,11:07,Source_data/transcript/algo_trading_with_kevin_davey_notebooklm_transcripts/Why Patience Is KEY To Winning Algo Trading!.md,7968,NotebookLM YouTube transcript import
4,saved,0FMlRfbrhyo,Watch Out: US Gov't Warning About AI Trading,https://www.youtube.com/watch?v=0FMlRfbrhyo,17:08,Source_data/transcript/algo_trading_with_kevin_davey_notebooklm_transcripts/Watch Out- US Gov't Warning About AI Trading.md,11935,NotebookLM YouTube transcript import
5,saved,EKlDx0u2j6Q,How 2 Pro Traders Are Using AI In Their Algo Trading - And What They Avoid,https://www.youtube.com/watch?v=EKlDx0u2j6Q,48:15,Source_data/transcript/algo_trading_with_kevin_davey_notebooklm_transcripts/How 2 Pro Traders Are Using AI In Their Algo Trading - And What They Avoid.md,41846,NotebookLM YouTube transcript import
6,saved,ik6umi5KGlc,Almost Every Trader Gets This WRONG When Building Algos,https://www.youtube.com/watch?v=ik6umi5KGlc,7:47,Source_data/transcript/algo_trading_with_kevin_davey_notebooklm_transcripts/Almost Every Trader Gets This WRONG When Building Algos.md,5084,NotebookLM YouTube transcript import
7,saved,ohVzGuA2y8c,A Profitable AI Assisted Algo Trading Strategy - For Live Cattle?,https://www.youtube.com/watch?v=ohVzGuA2y8c,11:12,Source_data/transcript/algo_trading_with_kevin_davey_notebooklm_transcripts/A Profitable AI Assisted Algo Trading Strategy - For Live Cattle-.md,7979,NotebookLM YouTube transcript import
8,saved,1k5cx1cLUrU,Are You Thinking Like A Trader?,https://www.youtube.com/watch?v=1k5cx1cLUrU,9:08,Source_data/transcript/algo_trading_with_kevin_davey_notebooklm_transcripts/Are You Thinking Like A Trader-.md,5829,NotebookLM YouTube transcript import
9,saved,WQUWpW8DHms,AI Inspired Algo Trading Exit - Tested & Verified!,https://www.youtube.com/watch?v=WQUWpW8DHms,12:15,Source_data/transcript/algo_trading_with_kevin_davey_notebooklm_transcripts/AI Inspired Algo Trading Exit - Tested & Verified!.md,8443,NotebookLM YouTube transcript import
10,saved,pJKXQRHWMPg,Beware Of This Algo Trading Mistake!,https://www.youtube.com/watch?v=pJKXQRHWMPg,6:59,Source_data/transcript/algo_trading_with_kevin_davey_notebooklm_transcripts/Beware Of This Algo Trading Mistake!.md,4675,NotebookLM YouTube transcript import
11,saved,-IN3psKfXdU,I Backtested the RSI Trading Strategy Traders Swear By,https://www.youtube.com/watch?v=-IN3psKfXdU,13:51,Source_data/transcript/algo_trading_with_kevin_davey_notebooklm_transcripts/I Backtested the RSI Trading Strategy Traders Swear By.md,8932,NotebookLM YouTube transcript import
12,saved,cf07FPp9Slk,Secrets That Helped Me Get 100% Returns Via Algo Trading - Real Money Contest,https://www.youtube.com/watch?v=cf07FPp9Slk,9:02,Source_data/transcript/algo_trading_with_kevin_davey_notebooklm_transcripts/Secrets That Helped Me Get 100% Returns Via Algo Trading - Real Money Contest.md,6493,NotebookLM YouTube transcript import
