index,video_id,title,url,duration,upload_date
1,TW-YB6a8R5s,Victor Niederhoffer Documentary - English Subtitles - 1997,https://www.youtube.com/watch?v=TW-YB6a8R5s,1:12:22,
2,vP4zEyxaqu4,Victor Niederhoffer interviews Larry Williams. 2021/03/26,https://www.youtube.com/watch?v=vP4zEyxaqu4,43:24,
3,lUoyFhwnPMo,Ep 133- Market Myths and Finding an Edge ft. Victor Niederhoffer with Srivatsan Prakash,https://www.youtube.com/watch?v=lUoyFhwnPMo,1:12:25,
4,eze3kSwaz44,Ep 147 - An Education from a Speculator: Interview with Legendary Victor Niederhoffer,https://www.youtube.com/watch?v=eze3kSwaz44,56:10,
5,Q-tEFwZRop8,Victor Niederhoffer 1998 3/8 (Korean sub),https://www.youtube.com/watch?v=Q-tEFwZRop8,10:02,
6,SZHshj_WwvE,"Bitcoin Prediction, Ethereum undervalued, daily Market Web 2020/12/17",https://www.youtube.com/watch?v=SZHshj_WwvE,1:16:57,
7,DKYF01aFtRE,Niederhoffer Sennett Daily Market Web 2021/01/04,https://www.youtube.com/watch?v=DKYF01aFtRE,21:27,
8,SCgH63lch14,"Transition day today, S&P 4200 is next, but what's coming after? The trial, bonds & Sogi. 2021/04/19",https://www.youtube.com/watch?v=SCgH63lch14,16:50,
9,NXCRJMETC1o,"After a small down day today, is the bullish run going to continue? 2021/04/06",https://www.youtube.com/watch?v=NXCRJMETC1o,37:11,
10,iifjhEp_2B4,"Potential bearish setup on major equity indexes, Bitcoin & Ethereum update & levels 05/31/21",https://www.youtube.com/watch?v=iifjhEp_2B4,24:18,
11,F7xjzAn510s,Find out what to expect after such a strong 4 day rally in the markets & baseball fallout 2021/04/05,https://www.youtube.com/watch?v=F7xjzAn510s,23:20,
12,yqPeBzKLR9k,"The bullish streak is broken, but the bullish expectation continues. Bernie Madoff & AMZN 2021/04/14",https://www.youtube.com/watch?v=yqPeBzKLR9k,21:58,
13,1MFGvNOgAn0,Talks of tax increase scared the markets after the largest 12-month S&P500 gain since1936 2021/03/23,https://www.youtube.com/watch?v=1MFGvNOgAn0,13:15,
14,CteSgDyQgrY,Niederhoffer Sennett Daily Market Web,https://www.youtube.com/watch?v=CteSgDyQgrY,44:57,
15,ERhKbIlwKfo,Niederhoffer Sennett Daily Market Web 2020/12/14,https://www.youtube.com/watch?v=ERhKbIlwKfo,48:19,
16,mj2x30nIE2I,"What will the FMOC bring tomorrow? Today was a down day, as Victor predicted. 2021/03/16",https://www.youtube.com/watch?v=mj2x30nIE2I,16:30,
17,3SdCuAQnMbs,Niederhoffer Sennett Daily Market Web 2021/01/12,https://www.youtube.com/watch?v=3SdCuAQnMbs,35:31,
18,3DVMDAisu-E,Niederhoffer Sennett Daily Market Web 2021/01/08,https://www.youtube.com/watch?v=3DVMDAisu-E,25:27,
19,5L47Kh5DHGM,Niederhoffer Sennett Daily Market Web 2021/01/13,https://www.youtube.com/watch?v=5L47Kh5DHGM,25:53,
20,3VniS6ObNNE,Niederhoffer Sennett Daily Market Web 2020/12/30,https://www.youtube.com/watch?v=3VniS6ObNNE,53:55,
21,S1d6WcCOeMk,Niederhoffer Sennett Daily Market Web 2021/01/05,https://www.youtube.com/watch?v=S1d6WcCOeMk,48:32,
22,bDvQ4QxqQNA,Niederhoffer Sennett Daily Market Web 2020/12/28,https://www.youtube.com/watch?v=bDvQ4QxqQNA,45:24,
23,kkUnTTfKt8Q,Niederhoffer Sennett Market Daily Web #`1,https://www.youtube.com/watch?v=kkUnTTfKt8Q,42:53,
24,fwGlIqh7AsI,Niederhoffer Sennett Daily Market Web 2020/12/16,https://www.youtube.com/watch?v=fwGlIqh7AsI,30:39,
25,j35x-DwViio,Niederhoffer Sennett Daily Market Web 2021/01/14,https://www.youtube.com/watch?v=j35x-DwViio,29:01,
26,TMe3Nk02tOk,Niederhoffer Sennett Daily Market Web 2020/12/31,https://www.youtube.com/watch?v=TMe3Nk02tOk,33:29,
27,FgrD3rnapQQ,Niederhoffer Sennett Daily Market Web 2020/12/22,https://www.youtube.com/watch?v=FgrD3rnapQQ,35:20,
28,pEARZITKJoQ,Niederhoffer Sennett Daily Market Web 2020/12/23,https://www.youtube.com/watch?v=pEARZITKJoQ,38:55,
29,t2ZAHFCliIE,Niederhoffer Sennett Daily Market Web 2020/12/21,https://www.youtube.com/watch?v=t2ZAHFCliIE,18:05,
30,fPbrBJuIesY,Niederhoffer Sennett Daily Market Web 2021/01/11,https://www.youtube.com/watch?v=fPbrBJuIesY,18:04,
31,EY7DW6SwsE4,Niederhoffer Sennett Daily Market Web 2021/01/22,https://www.youtube.com/watch?v=EY7DW6SwsE4,19:10,
32,qm-Q_8lGJbQ,Niederhoffer Sennett Daily Market Web 2020/12/15,https://www.youtube.com/watch?v=qm-Q_8lGJbQ,33:25,
